run	study	sample
SRR013549	SRP000599	SRS002125
SRR013550	SRP000599	SRS002126
SRR013551	SRP000599	SRS002127
SRR013552	SRP000599	SRS002128
SRR013553	SRP000599	SRS002129
SRR013554	SRP000599	SRS002130
SRR013555	SRP000599	SRS002131
SRR013556	SRP000599	SRS002132
SRR013557	SRP000599	SRS002133
SRR013558	SRP000599	SRS002134
SRR013559	SRP000599	SRS002135
SRR013560	SRP000599	SRS002136
SRR013561	SRP000599	SRS002137
SRR013562	SRP000599	SRS002138
SRR013563	SRP000599	SRS002139
SRR013564	SRP000599	SRS002140
SRR013565	SRP000599	SRS002141
SRR013566	SRP000599	SRS002142
SRR013567	SRP000599	SRS002143
SRR013568	SRP000599	SRS002144
SRR013569	SRP000599	SRS002145
SRR013570	SRP000599	SRS002146
SRR013571	SRP000599	SRS002147
SRR013572	SRP000599	SRS002148
SRR013573	SRP000599	SRS002149
SRR013574	SRP000599	SRS002150
SRR013575	SRP000599	SRS002151
SRR013576	SRP000599	SRS002152
SRR013577	SRP000599	SRS002153
SRR013578	SRP000599	SRS002154
SRR013579	SRP000599	SRS002155
SRR013580	SRP000599	SRS002156
SRR013581	SRP000599	SRS002157
SRR013582	SRP000599	SRS002158
SRR013583	SRP000599	SRS002159
SRR013584	SRP000599	SRS002160
SRR013585	SRP000599	SRS002161
SRR013586	SRP000599	SRS002162
SRR013587	SRP000599	SRS002163
SRR013588	SRP000599	SRS002164
SRR029124	SRP001313	SRS006753
SRR029125	SRP001313	SRS006754
SRR029127	SRP001313	SRS006756
SRR029128	SRP001313	SRS006757
SRR029129	SRP001313	SRS006758
SRR029130	SRP001313	SRS006759
SRR029131	SRP001313	SRS006760
SRR029132	SRP001313	SRS006761
SRR029284	SRP001349	SRS006823
SRR029285	SRP001349	SRS006824
SRR030769	SRP001462	SRS007526
SRR030770	SRP001462	SRS007526
SRR030771	SRP001462	SRS007527
SRR030772	SRP001462	SRS007527
SRR031811	SRP001540	SRS008824
SRR031812	SRP001540	SRS008825
SRR031813	SRP001540	SRS008826
SRR031814	SRP001540	SRS008827
SRR031815	SRP001540	SRS008828
SRR031816	SRP001540	SRS008829
SRR031817	SRP001540	SRS008830
SRR031818	SRP001540	SRS008831
SRR031819	SRP001540	SRS008832
SRR031820	SRP001540	SRS008833
SRR031821	SRP001540	SRS008834
SRR031822	SRP001540	SRS008835
SRR031823	SRP001540	SRS008836
SRR031824	SRP001540	SRS008837
SRR031825	SRP001540	SRS008838
SRR031826	SRP001540	SRS008839
SRR031827	SRP001540	SRS008840
SRR031828	SRP001540	SRS008841
SRR031829	SRP001540	SRS008842
SRR031830	SRP001540	SRS008843
SRR031831	SRP001540	SRS008844
SRR031832	SRP001540	SRS008845
SRR031833	SRP001540	SRS008846
SRR031834	SRP001540	SRS008847
SRR031835	SRP001540	SRS008848
SRR031836	SRP001540	SRS008849
SRR031837	SRP001540	SRS008850
SRR031838	SRP001540	SRS008851
SRR031839	SRP001540	SRS008852
SRR031840	SRP001540	SRS008853
SRR031841	SRP001540	SRS008854
SRR031842	SRP001540	SRS008855
SRR031843	SRP001540	SRS008856
SRR031844	SRP001540	SRS008857
SRR031845	SRP001540	SRS008858
SRR031846	SRP001540	SRS008859
SRR031847	SRP001540	SRS008860
SRR031848	SRP001540	SRS008861
SRR031849	SRP001540	SRS008862
SRR031850	SRP001540	SRS008863
SRR031851	SRP001540	SRS008864
SRR031852	SRP001540	SRS008865
SRR031853	SRP001540	SRS008866
SRR031854	SRP001540	SRS008867
SRR031855	SRP001540	SRS008868
SRR031857	SRP001540	SRS008870
SRR031858	SRP001540	SRS008871
SRR031859	SRP001540	SRS008872
SRR031860	SRP001540	SRS008873
SRR031861	SRP001540	SRS008874
SRR031862	SRP001540	SRS008875
SRR031863	SRP001540	SRS008876
SRR031864	SRP001540	SRS008877
SRR031865	SRP001540	SRS008878
SRR031866	SRP001540	SRS008879
SRR031867	SRP001540	SRS008880
SRR031868	SRP001540	SRS008881
SRR031869	SRP001540	SRS008882
SRR031870	SRP001540	SRS008883
SRR031871	SRP001540	SRS008884
SRR031872	SRP001540	SRS008885
SRR031873	SRP001540	SRS008886
SRR031874	SRP001540	SRS008887
SRR031875	SRP001540	SRS008888
SRR031876	SRP001540	SRS008889
SRR031877	SRP001540	SRS008890
SRR031878	SRP001540	SRS008891
SRR031879	SRP001540	SRS008892
SRR031880	SRP001540	SRS008893
SRR031881	SRP001540	SRS008894
SRR031882	SRP001540	SRS008895
SRR031883	SRP001540	SRS008896
SRR031884	SRP001540	SRS008897
SRR031885	SRP001540	SRS008898
SRR031886	SRP001540	SRS008899
SRR031887	SRP001540	SRS008900
SRR031888	SRP001540	SRS008901
SRR031889	SRP001540	SRS008902
SRR031890	SRP001540	SRS008903
SRR031891	SRP001540	SRS008904
SRR031892	SRP001540	SRS008905
SRR031893	SRP001540	SRS008906
